,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
33,s3304,Movie,Luccas Neto in: Summer Camp,Lucas Margutti,"Luccas Neto, Gi Alparone, Jéssica Diehl, Roni Fischer, Karol Alves, João Pessanha",Brazil,"November 5, 2019",2019,TV-G,87 min,Comedies,Luccas and Gi are heading to a world famous gymkhana camp. Only problem: so are their bullies... A fun musical that will get you in a vacation mood.
33,s3304,Movie,Luccas Neto in: Summer Camp,Lucas Margutti,"Luccas Neto, Gi Alparone, Jéssica Diehl, Roni Fischer, Karol Alves, João Pessanha",Brazil,"November 5, 2019",2019,TV-G,87 min,Music & Musicals,Luccas and Gi are heading to a world famous gymkhana camp. Only problem: so are their bullies... A fun musical that will get you in a vacation mood.
34,s3371,TV Show,Brotherhood,,"Naruna Costa, Seu Jorge, Hermila Guedes, Lee Taylor, Danilo Grangheia, Wesley Guimarães, Pedro Wagner",Brazil,"October 25, 2019",2019,TV-MA,1 Season,Crime TV Shows,"An honest lawyer reaches a moral crossroads after the cops force her to inform on her incarcerated brother, the leader of a rising criminal faction."
34,s3371,TV Show,Brotherhood,,"Naruna Costa, Seu Jorge, Hermila Guedes, Lee Taylor, Danilo Grangheia, Wesley Guimarães, Pedro Wagner",Brazil,"October 25, 2019",2019,TV-MA,1 Season,TV Dramas,"An honest lawyer reaches a moral crossroads after the cops force her to inform on her incarcerated brother, the leader of a rising criminal faction."
35,s3557,Movie,Kardec,Wagner de Assis,"Leonardo Medeiros, Sandra Corveloni, Genezio de Barros, Guilherme Piva, Leonardo Franco, Dalton Vigh, Charles Baudin, Julia Konrad",Brazil,"August 29, 2019",2019,TV-14,110 min,Dramas,"In Catholic 19th-century France, professor Léon Rivail attends a séance and is moved to found spiritism, putting him in the authorities' sights."
35,s3557,Movie,Kardec,Wagner de Assis,"Leonardo Medeiros, Sandra Corveloni, Genezio de Barros, Guilherme Piva, Leonardo Franco, Dalton Vigh, Charles Baudin, Julia Konrad",Brazil,"August 29, 2019",2019,TV-14,110 min,Faith & Spirituality,"In Catholic 19th-century France, professor Léon Rivail attends a séance and is moved to found spiritism, putting him in the authorities' sights."
36,s3592,Movie,Whindersson Nunes: Adult,Diego Pignataro,Whindersson Nunes,Brazil,"August 15, 2019",2019,TV-MA,69 min,Stand-Up Comedy,Brazilian YouTube sensation Whindersson Nunes revisits his humble beginnings and much more in a series of playful stories and peculiar songs.
37,s3605,TV Show,Sintonia,,"Christian Malheiros, Jottapê, Bruna Mascarenhas",Brazil,"August 9, 2019",2019,TV-MA,1 Season,Crime TV Shows,"Three teens living in the same São Paulo favela pursue their dreams while maintaining their friendship, amid a world of music, drugs and religion."
37,s3605,TV Show,Sintonia,,"Christian Malheiros, Jottapê, Bruna Mascarenhas",Brazil,"August 9, 2019",2019,TV-MA,1 Season,TV Dramas,"Three teens living in the same São Paulo favela pursue their dreams while maintaining their friendship, amid a world of music, drugs and religion."
38,s3733,Movie,The Edge of Democracy,Petra Costa,,Brazil,"June 19, 2019",2019,TV-14,122 min,Documentaries,Political documentary and personal memoir collide in this exploration into the complex truth behind the unraveling of two Brazilian presidencies.
39,s3748,Movie,DJ Cinderella,Bruno Garotti,"Maísa Silva, Filipe Bragança, Fernanda Paes Leme, Miriam Freeland, Marcelo Valle, Elisa Pinheiro, Sérgio Malheiros, Giovanna Grigio, Bárbara Maia, Letícia Pedro, Kiria Malheiros, Leo Cidade, Matheus Costa, Isabel Fillardis, Selma Lopes",Brazil,"June 14, 2019",2019,TV-PG,95 min,Children & Family Movies,"Fiercely independent and disillusioned with love, a teen DJ is determined to chart her own path, till a pop heartthrob falls for her awesome mix."
39,s3748,Movie,DJ Cinderella,Bruno Garotti,"Maísa Silva, Filipe Bragança, Fernanda Paes Leme, Miriam Freeland, Marcelo Valle, Elisa Pinheiro, Sérgio Malheiros, Giovanna Grigio, Bárbara Maia, Letícia Pedro, Kiria Malheiros, Leo Cidade, Matheus Costa, Isabel Fillardis, Selma Lopes",Brazil,"June 14, 2019",2019,TV-PG,95 min,Comedies,"Fiercely independent and disillusioned with love, a teen DJ is determined to chart her own path, till a pop heartthrob falls for her awesome mix."
40,s3839,TV Show,The Mechanism,,"Selton Mello, Caroline Abras, Enrique Diaz, Antonio Saboia, Lee Taylor, Otto Jr., Leonardo Medeiros, Osvaldo Mil, Jonathan Haagensen, Giulio Lopes, Susana Ribeiro",Brazil,"May 10, 2019",2019,TV-MA,2 Seasons,Crime TV Shows,A scandal erupts in Brazil during an investigation of alleged government corruption via oil and construction companies. Loosely inspired by true events.
40,s3839,TV Show,The Mechanism,,"Selton Mello, Caroline Abras, Enrique Diaz, Antonio Saboia, Lee Taylor, Otto Jr., Leonardo Medeiros, Osvaldo Mil, Jonathan Haagensen, Giulio Lopes, Susana Ribeiro",Brazil,"May 10, 2019",2019,TV-MA,2 Seasons,TV Dramas,A scandal erupts in Brazil during an investigation of alleged government corruption via oil and construction companies. Loosely inspired by true events.
41,s3903,TV Show,Samantha!,,"Emmanuelle Araújo, Douglas Silva, Sabrina Nonata, Cauã Gonçalves, Daniel Furlan, Alice Braga, Alessandra Negrini, Lorena Comparato, Rodrigo Pandolfo, Luciana Vendramini, Maria Eduarda, Sidney Alexandre, Enzo Ovideo, Mauricio Xavier, Paulo Tiefenthaler, Ary França",Brazil,"April 19, 2019",2019,TV-MA,2 Seasons,TV Comedies,"A child star in the '80s, Samantha clings to the fringes of celebrity with hilarious harebrained schemes to launch herself back into the spotlight."
42,s3930,Movie,Liss Pereira: Reteniendo líquidos,Fernando Ayllón,Liss Pereira,Brazil,"April 10, 2019",2019,TV-14,59 min,Stand-Up Comedy,"A pregnant Liss Pereira shares hilariously uncomfortable truths about sex, love, attraction and the lies we tell in modern relationships."
43,s4091,TV Show,Z4,,"Apollo Costa, Gabriel Santana, Matheus Lustosa, Pedro Rezende, Werner Schünemann, Manu Gavassi, Angela Dippe, Negra Li, Patrícia de Sabrit, César Pezzuoli, Carol Loback, Marina Brandão",Brazil,"February 22, 2019",2018,TV-PG,2 Seasons,Kids' TV,Fading music biz veteran Zé realizes he has just one more chance at redemption: He must assemble a hit boy band from a ragtag group of pop newbies.
44,s4101,Movie,Buddies,Marcelo Galvão,"Ariel Goldenberg, Rita Pokk, Breno Viola, Lima Duarte, Marco Luque, Daniel Torres, Monaliza Marchi, Amélia Bittencourt, Giulia de Souza Merigo, Deto Montenegro, Rui Unas",Brazil,"February 15, 2019",2012,TV-MA,103 min,Comedies,"Inspired by the movie ""Thelma & Louise,"" three young people with Down syndrome leave the institution where they live to take a road trip together."
44,s4101,Movie,Buddies,Marcelo Galvão,"Ariel Goldenberg, Rita Pokk, Breno Viola, Lima Duarte, Marco Luque, Daniel Torres, Monaliza Marchi, Amélia Bittencourt, Giulia de Souza Merigo, Deto Montenegro, Rui Unas",Brazil,"February 15, 2019",2012,TV-MA,103 min,Dramas,"Inspired by the movie ""Thelma & Louise,"" three young people with Down syndrome leave the institution where they live to take a road trip together."
44,s4101,Movie,Buddies,Marcelo Galvão,"Ariel Goldenberg, Rita Pokk, Breno Viola, Lima Duarte, Marco Luque, Daniel Torres, Monaliza Marchi, Amélia Bittencourt, Giulia de Souza Merigo, Deto Montenegro, Rui Unas",Brazil,"February 15, 2019",2012,TV-MA,103 min,Independent Movies,"Inspired by the movie ""Thelma & Louise,"" three young people with Down syndrome leave the institution where they live to take a road trip together."
45,s4181,Movie,Old Lord Savanna,André D'Elia,Leonardo Ribeiro,Brazil,"January 18, 2019",2018,TV-14,96 min,Documentaries,This documentary captures the environmental and societal impact of Brazil's Cerrado savanna suffering from severe deforestation.
46,s4388,TV Show,Vai Anitta,,Anitta,Brazil,"November 16, 2018",2018,TV-MA,1 Season,Docuseries,"Go behind the scenes with Brazilian pop icon Anitta, along with her friends and family, as she aims to create a new song and music video each month."
46,s4388,TV Show,Vai Anitta,,Anitta,Brazil,"November 16, 2018",2018,TV-MA,1 Season,Reality TV,"Go behind the scenes with Brazilian pop icon Anitta, along with her friends and family, as she aims to create a new song and music video each month."
47,s4406,TV Show,Super Drags,,"Fernando Mendonça, Sérgio Cantú, Wagner Follare, Pabllo Vittar, Silvetty Montilla, Rapha Vélez, Sylvia Salustti, Guilherme Briggs",Brazil,"November 9, 2018",2018,TV-MA,1 Season,TV Comedies,"In this adult animated series, three gay co-workers lead double lives as drag queen superheroes, saving the LGBTQ community from evil nemeses."
48,s4415,Movie,Ana e Vitória,Matheus Souza,"Ana Caetano, Vitória Falcão, Clarissa Müller, Bruce Gomlevsky, Thati Lopes, Caique Nogueira, Érika Mader, Victor Lamoglia, Gabriela Nunes, Bryan Ruffo, Hamilton Dias",Brazil,"November 2, 2018",2018,TV-MA,116 min,Comedies,"After meeting by chance, two young musicians with differing views on love and life record an album that drastically alters their lives."
48,s4415,Movie,Ana e Vitória,Matheus Souza,"Ana Caetano, Vitória Falcão, Clarissa Müller, Bruce Gomlevsky, Thati Lopes, Caique Nogueira, Érika Mader, Victor Lamoglia, Gabriela Nunes, Bryan Ruffo, Hamilton Dias",Brazil,"November 2, 2018",2018,TV-MA,116 min,LGBTQ Movies,"After meeting by chance, two young musicians with differing views on love and life record an album that drastically alters their lives."
49,s4436,Movie,"Edmilson Filho: Notas, Comedy about Relationships",Halder Gomes,Edmilson Filho,Brazil,"November 1, 2018",2017,TV-MA,80 min,Stand-Up Comedy,"Brazilian comedian Edmilson Filho walks his audience through the stages of a modern relationship, playing up the differences between men and women."
50,s4524,TV Show,Blood Pact,,"Guilherme Fontes, Ravel Cabral, Jonathan Haagensen, André Ramiro, Adriano Garib, Mel Lisboa, Cristina Lago",Brazil,"October 10, 2018",2018,TV-MA,1 Season,Crime TV Shows,"An ambitious TV reporter uses risky and ethically questionable methods to report on gang wars and police corruption in the Amazon port of Belém, Brazil."
50,s4524,TV Show,Blood Pact,,"Guilherme Fontes, Ravel Cabral, Jonathan Haagensen, André Ramiro, Adriano Garib, Mel Lisboa, Cristina Lago",Brazil,"October 10, 2018",2018,TV-MA,1 Season,TV Dramas,"An ambitious TV reporter uses risky and ethically questionable methods to report on gang wars and police corruption in the Amazon port of Belém, Brazil."
51,s4618,Movie,Paradise Lost,Monique Gardenberg,"Júlio Andrade, Lee Taylor, Hermila Guedes, Julia Konrad, Erasmo Carlos, Marjorie Estiano, Seu Jorge, Jaloo, Felipe Abib, Humberto Carrão, Malu Galli",Brazil,"September 29, 2018",2018,TV-MA,111 min,Dramas,"A cop moonlights as the bodyguard for a young drag queen at a nightclub, and grows closer to the family of misfit singers that perform there."
51,s4618,Movie,Paradise Lost,Monique Gardenberg,"Júlio Andrade, Lee Taylor, Hermila Guedes, Julia Konrad, Erasmo Carlos, Marjorie Estiano, Seu Jorge, Jaloo, Felipe Abib, Humberto Carrão, Malu Galli",Brazil,"September 29, 2018",2018,TV-MA,111 min,Independent Movies,"A cop moonlights as the bodyguard for a young drag queen at a nightclub, and grows closer to the family of misfit singers that perform there."
52,s4632,Movie,Rafinha Bastos: Ultimatum,,Rafinha Bastos,Brazil,"September 21, 2018",2018,TV-MA,63 min,Stand-Up Comedy,"An off-color joke nearly cost him everything. Brazilian comic Rafinha Bastos talks about that and much more, from his divorce to finding love again."
53,s4766,Movie,Nothing to Lose,Alexandre Avancini,"Petrônio Gontijo, Day Mesquita, Beth Goulart, Dalton Vigh, Eduardo Galvão, André Gonçalves, Marcello Airoldi",Brazil,"July 20, 2018",2018,PG,133 min,Dramas,This biographical drama traces the rise to fame of controversial Brazilian evangelical leader and business titan Edir Macedo.
53,s4766,Movie,Nothing to Lose,Alexandre Avancini,"Petrônio Gontijo, Day Mesquita, Beth Goulart, Dalton Vigh, Eduardo Galvão, André Gonçalves, Marcello Airoldi",Brazil,"July 20, 2018",2018,PG,133 min,Faith & Spirituality,This biographical drama traces the rise to fame of controversial Brazilian evangelical leader and business titan Edir Macedo.
54,s4816,TV Show,Borges,,"Thati Lopes, Antonio Pedro Tabet, Karina Ramil, Rafael Portugal, Luis Lobianco",Brazil,"June 25, 2018",2018,TV-MA,1 Season,TV Comedies,"Left deeply in debt after their boss flees the country, four import company employees start producing online video content to keep themselves afloat."
55,s4918,Movie,Fishtronaut: The Movie,"Célia Catunda, Kiko Mistrorigo, Rodrigo Eba","Fábio Lucindo, Celso Alves, Fernanda Bullara",Brazil,"April 25, 2018",2018,TV-Y,78 min,Children & Family Movies,"Fishtronaut, Marina and Zeek travel to the big city in search of Grandpa, only to find that everyone else has mysteriously vanished too."
56,s4924,Movie,All The Reasons To Forget,Pedro Coutinho,"Johnny Massaro, Bianca Comparato, Regina Braga, Maria Laura Nogueira, Victor Mendes, Thiago Amaral, Rafael Primot, Eduardo Mossri, Rita Batata, Larissa Ferrara",Brazil,"April 19, 2018",2017,TV-MA,90 min,Comedies,A Brazilian man tries a myriad of ways to get over his breakup with his girlfriend but is surprised to learn it's more difficult than he anticipated.
56,s4924,Movie,All The Reasons To Forget,Pedro Coutinho,"Johnny Massaro, Bianca Comparato, Regina Braga, Maria Laura Nogueira, Victor Mendes, Thiago Amaral, Rafael Primot, Eduardo Mossri, Rita Batata, Larissa Ferrara",Brazil,"April 19, 2018",2017,TV-MA,90 min,Dramas,A Brazilian man tries a myriad of ways to get over his breakup with his girlfriend but is surprised to learn it's more difficult than he anticipated.
57,s5178,Movie,The Killer,Marcelo Galvão,"Diogo Morgado, Etienne Chicot, Maria de Medeiros, Deto Montenegro, Jonas Leite, Paulo Gorgulho, Will Roberts, Allan Lima, Eduardo Galvão, Igor Galvão",Brazil,"November 10, 2017",2017,TV-MA,100 min,Action & Adventure,"In lawless badlands, reclusive Cabeleira sets out to discover the fate of his gunman father and grows to be a feared assassin himself."
58,s5431,Movie,Marco Luque: Tamo Junto,Caio Cobra,Marco Luque,Brazil,"June 15, 2017",2017,TV-MA,73 min,Stand-Up Comedy,"Eclectic character comedian Marco Luque plays himself in this stand-up special about relationships, regional differences and his own love of movies."
59,s5455,Movie,Love.com,Anita Barbosa,"Isis Valverde, Gil Coelho, Joaquim Lopes, Carol Portes, Alexandra Richter, Marcos Mion, João Côrtes, César Cardadeiro",Brazil,"June 1, 2017",2017,TV-MA,92 min,Comedies,"When a fashion blogger falls for a video game vlogger, their romance goes viral. But separating their virtual life from reality gets complicated."
59,s5455,Movie,Love.com,Anita Barbosa,"Isis Valverde, Gil Coelho, Joaquim Lopes, Carol Portes, Alexandra Richter, Marcos Mion, João Côrtes, César Cardadeiro",Brazil,"June 1, 2017",2017,TV-MA,92 min,Romantic Movies,"When a fashion blogger falls for a video game vlogger, their romance goes viral. But separating their virtual life from reality gets complicated."
60,s5479,Movie,Laerte-se,"Lygia Barbosa da Silva, Eliane Brum",Laerte Coutinho,Brazil,"May 19, 2017",2017,TV-MA,101 min,Documentaries,"After living as a man for nearly 60 years, Laerte Coutinho, one of Brazil's most brilliant cartoonists, introduces herself to the world as a woman."
60,s5479,Movie,Laerte-se,"Lygia Barbosa da Silva, Eliane Brum",Laerte Coutinho,Brazil,"May 19, 2017",2017,TV-MA,101 min,LGBTQ Movies,"After living as a man for nearly 60 years, Laerte Coutinho, one of Brazil's most brilliant cartoonists, introduces herself to the world as a woman."
61,s5544,Movie,Couples Counseling,Alexandre Reinecke,"Zezé Polessa, Daniel Dantas, Paulo Vilhena, Fernanda Paes Leme, Juliana Mesquita",Brazil,"April 1, 2017",2016,TV-MA,88 min,Comedies,A seasoned couples therapist comes to realize she might need help with her own marriage after meeting a new pair of young clients.
61,s5544,Movie,Couples Counseling,Alexandre Reinecke,"Zezé Polessa, Daniel Dantas, Paulo Vilhena, Fernanda Paes Leme, Juliana Mesquita",Brazil,"April 1, 2017",2016,TV-MA,88 min,Dramas,A seasoned couples therapist comes to realize she might need help with her own marriage after meeting a new pair of young clients.
62,s5560,Movie,Felipe Neto: My Life Makes No Sense,Diego Pignataro,Felipe Neto,Brazil,"March 24, 2017",2017,TV-MA,91 min,Stand-Up Comedy,"YouTube sensation Felipe Neto brings the stories from his autobiographical book ""Não Faz Sentido!"" to the stage in this comedy special."
63,s5589,Movie,Jonas,Lô Politi,"Jesuíta Barbosa, Laura Neiva, Criolo, Ana Cecília Costa, João Fábio Cabral, Ariclenes Barroso, Karol Conká, Chay Suede, Luciana Souza, Chris Couto, Roberto Berindelli",Brazil,"February 26, 2017",2015,TV-MA,97 min,Dramas,"During Carnival, two teens from different classes meet years after being kept apart. Bad decisions lead the boy to hide with the girl inside a float."
64,s5590,Movie,Operações Especiais,Tomas Portella,"Cleo Pires, Marcos Caruso, Thiago Martins, Fabrício Boliveira, Fabiula Nascimento, Antonio Pedro Tabet, Fábio Lago, Analú Prestes, Gillray Coutinho, Augusto Madeira",Brazil,"February 25, 2017",2015,TV-MA,99 min,Action & Adventure,"In a crime-plagued area of Rio de Janeiro, a team of honest cops, including a determined rookie, fights corruption and mistrust on all sides."
65,s5627,Movie,O Silêncio do Céu,Marco Dutra,"Leonardo Sbaraglia, Carolina Dieckmann, Chino Darín, Alvaro Armand Ugon, Mirella Pascual, Roberto Suárez, Paula Cohen, Dylan Cortes, Priscila Bellora, Gabriela Freire, María Mendive",Brazil,"January 25, 2017",2016,TV-MA,102 min,Dramas,"After being raped in her home, a married woman chooses not to tell her husband, unaware that he has his own troubled secret and a plan for revenge."
66,s5766,Movie,Chatô: The King of Brazil,Guilherme Fontes,"Marco Ricca, Andrea Beltrão, Letícia Sabatella, Leandra Leal, Gabriel Braga Nunes, Paulo Betti, Marcos Oliveira, Eliane Giardini",Brazil,"October 1, 2016",2015,TV-MA,105 min,Dramas,"The romanticized life of media mogul Assis Chateaubriand depicts him as the star of a televised trial, where his passions and achievements are judged."
67,s6049,Movie,A new Capitalism,,,Brazil,"June 12, 2018",2017,TV-14,76 min,Documentaries,"Entrepreneurs worldwide explore alternatives to current capitalist structures, advocating for profitable businesses that also tackle social inequality."
68,s6208,Movie,Back and Forth,José Eduardo Belmonte,"Ingrid Guimarães, Fábio Assunção, Alice Braga, Rosanne Mulholland, Caroline Abras, João Assunção",Brazil,"January 5, 2017",2016,NR,95 min,Comedies,"When their car breaks down en route to São Paulo, a father and son accept a ride from four beautiful telemarketers who are headed there on holiday."
68,s6208,Movie,Back and Forth,José Eduardo Belmonte,"Ingrid Guimarães, Fábio Assunção, Alice Braga, Rosanne Mulholland, Caroline Abras, João Assunção",Brazil,"January 5, 2017",2016,NR,95 min,Dramas,"When their car breaks down en route to São Paulo, a father and son accept a ride from four beautiful telemarketers who are headed there on holiday."
69,s6367,Movie,Boy and the World,Alê Abreu,"Vinícius Garcia, Felipe Zilse, Alê Abreu, Lu Horta, Marco Aurélio Campos, Cassius Romero, Alfredo Rollo",Brazil,"October 1, 2017",2013,PG,80 min,Children & Family Movies,"Young Cuca leaves his idyllic village on a grand adventure to find his father, who has traveled to the city seeking work."
70,s6659,TV Show,Earth to Luna!,,"Angelina Carballo, Raul-Gomez Pina, Eric Anderson",Brazil,"April 10, 2020",2014,TV-Y,1 Season,Kids' TV,"Curious about everything and excited about science, 6-year-old Luna, her brother Jupiter and pet Clyde explore nature to learn about the world."
71,s6787,Movie,Forever Chape,Luis Ara,,Brazil,"August 2, 2018",2018,TV-MA,74 min,Documentaries,"In the wake of the plane crash that claimed the lives of 71 people, the Brazilian soccer club Chapecoense seeks to rebuild the team that made history."
71,s6787,Movie,Forever Chape,Luis Ara,,Brazil,"August 2, 2018",2018,TV-MA,74 min,Sports Movies,"In the wake of the plane crash that claimed the lives of 71 people, the Brazilian soccer club Chapecoense seeks to rebuild the team that made history."
72,s7819,Movie,Radical: the Controversial Saga of Dada Figueiredo,Raphael Erichsen,,Brazil,"April 12, 2017",2013,TV-MA,71 min,Documentaries,"This film chronicles the career of surfer Dadá Figueiredo, whose stormy personal life upended his status as a trendsetting '70s sports hero."
72,s7819,Movie,Radical: the Controversial Saga of Dada Figueiredo,Raphael Erichsen,,Brazil,"April 12, 2017",2013,TV-MA,71 min,Sports Movies,"This film chronicles the career of surfer Dadá Figueiredo, whose stormy personal life upended his status as a trendsetting '70s sports hero."
73,s8109,Movie,Stronger Than the World,Afonso Poyart,"José Loreto, Cleo Pires, Milhem Cortaz, Jackson Antunes, Claudia Ohana, Rômulo Arantes Neto, Paloma Bernardi, Thaila Ayala, Rafinha Bastos, Felipe Titto",Brazil,"February 11, 2017",2016,NR,123 min,Action & Adventure,"After a tough upbringing, natural-born fighter José Aldo confronts his personal demons in his quest to become an MMA champion in this sports biopic."
73,s8109,Movie,Stronger Than the World,Afonso Poyart,"José Loreto, Cleo Pires, Milhem Cortaz, Jackson Antunes, Claudia Ohana, Rômulo Arantes Neto, Paloma Bernardi, Thaila Ayala, Rafinha Bastos, Felipe Titto",Brazil,"February 11, 2017",2016,NR,123 min,Dramas,"After a tough upbringing, natural-born fighter José Aldo confronts his personal demons in his quest to become an MMA champion in this sports biopic."
74,s8208,TV Show,The Beginning of Life: The Series,Estela Renner,,Brazil,"November 11, 2016",2016,TV-PG,1 Season,Docuseries,"Using breakthroughs in technology and neuroscience, this series examines how environment affects infants – and how infants can affect our future."
74,s8208,TV Show,The Beginning of Life: The Series,Estela Renner,,Brazil,"November 11, 2016",2016,TV-PG,1 Season,Science & Nature TV,"Using breakthroughs in technology and neuroscience, this series examines how environment affects infants – and how infants can affect our future."
75,s8301,Movie,The First Temptation of Christ,Rodrigo Van Der Put,"Gregorio Duvivier, Fábio Porchat, Antonio Tabet, Evelyn Castro, Rafael Portugal, Robson Nunes, João Vicente de Castro, Estevam Nabote, Thati Lopes, Karina Ramil, Sura Berditchevsky, Fábio de Luca",Brazil,"December 3, 2019",2019,TV-MA,46 min,Comedies,"Jesus, who's hitting the big 3-0, brings a surprise guest to meet the family. A Christmas special so wrong, it must be from comedians Porta dos Fundos."
76,s8387,Movie,The Last Hangover,Rodrigo Van Der Put,"Fábio Porchat, Gregório Duvivier, Antonio Tabet, Pedro Benevides, Paulo Vieira, Rafael Portugal, Fábio de Luca, Karina Ramil, Evelyn Castro, Pedro Monteiro, Camilo Borges, Gabriel Totoro, Victor Leal, Rafael Logan",Brazil,"December 21, 2018",2018,TV-MA,44 min,Comedies,"In this biblical ""Hangover"" spoof, the apostles awaken to find Jesus is missing and must piece together events of the previous night's wild Last Supper."
